Language	Split	Size	Replacement	Model	Score
wixarika	19	500	with	4-CRF	69.674
wixarika	19	500	with	1-CRF	71.702
wixarika	19	500	with	3-CRF	71.922
wixarika	19	500	with	2-CRF	72.114
wixarika	20	500	with	Morfessor	32.066
wixarika	20	500	with	0-CRF	59.882
wixarika	20	500	with	Seq2seq	61.266
wixarika	20	500	with	1-CRF	67.172
wixarika	20	500	with	3-CRF	68.782
wixarika	20	500	with	2-CRF	68.788
wixarika	20	500	with	4-CRF	69.384
wixarika	21	500	with	Morfessor	33.848
wixarika	21	500	with	Seq2seq	64.474
wixarika	21	500	with	0-CRF	65.964
wixarika	21	500	with	4-CRF	71.69
wixarika	21	500	with	3-CRF	71.718
wixarika	21	500	with	2-CRF	72.118
wixarika	21	500	with	1-CRF	72.69
wixarika	22	500	with	Morfessor	38.338
wixarika	22	500	with	0-CRF	61.466
wixarika	22	500	with	Seq2seq	62.412
wixarika	22	500	with	3-CRF	70.04599999999999
wixarika	22	500	with	4-CRF	70.062
wixarika	22	500	with	2-CRF	70.338
wixarika	22	500	with	1-CRF	70.572
wixarika	23	500	with	Morfessor	36.454
wixarika	23	500	with	Seq2seq	59.362
wixarika	23	500	with	0-CRF	61.376
wixarika	23	500	with	2-CRF	69.206
wixarika	23	500	with	1-CRF	69.648
wixarika	23	500	with	3-CRF	69.69800000000001
wixarika	23	500	with	4-CRF	69.91
wixarika	24	500	with	Morfessor	35.16
wixarika	24	500	with	0-CRF	60.17
wixarika	24	500	with	Seq2seq	63.308
wixarika	24	500	with	1-CRF	67.934
wixarika	24	500	with	3-CRF	68.454
wixarika	24	500	with	4-CRF	68.458
wixarika	24	500	with	2-CRF	69.422
wixarika	25	500	with	Morfessor	33.888
wixarika	25	500	with	0-CRF	61.746
wixarika	25	500	with	Seq2seq	65.322
wixarika	25	500	with	1-CRF	70.81
wixarika	25	500	with	4-CRF	71.482
wixarika	25	500	with	3-CRF	71.624
wixarika	25	500	with	2-CRF	72.15
wixarika	26	500	with	Morfessor	38.194
wixarika	26	500	with	0-CRF	62.652
wixarika	26	500	with	Seq2seq	64.278
wixarika	26	500	with	1-CRF	70.068
wixarika	26	500	with	3-CRF	70.67399999999999
wixarika	26	500	with	2-CRF	71.15
wixarika	26	500	with	4-CRF	71.2
wixarika	27	500	with	Morfessor	37.938
wixarika	27	500	with	0-CRF	59.238
wixarika	27	500	with	Seq2seq	65.072
wixarika	27	500	with	1-CRF	66.768
wixarika	27	500	with	4-CRF	67.16
wixarika	27	500	with	3-CRF	67.714
wixarika	27	500	with	2-CRF	68.212
wixarika	28	500	with	Morfessor	38.7
wixarika	28	500	with	0-CRF	66.46600000000001
wixarika	28	500	with	Seq2seq	67.62
wixarika	28	500	with	1-CRF	73.072
wixarika	28	500	with	4-CRF	74.19
wixarika	28	500	with	2-CRF	74.66799999999999
wixarika	28	500	with	3-CRF	74.708
wixarika	29	500	with	Morfessor	36.482
wixarika	29	500	with	Seq2seq	66.374
wixarika	29	500	with	0-CRF	67.462
wixarika	29	500	with	1-CRF	73.45400000000001
wixarika	29	500	with	4-CRF	74.09
wixarika	29	500	with	3-CRF	74.174
wixarika	29	500	with	2-CRF	74.344
wixarika	30	500	with	Morfessor	35.714
wixarika	30	500	with	0-CRF	63.82
wixarika	30	500	with	Seq2seq	65.778
wixarika	30	500	with	2-CRF	71.164
wixarika	30	500	with	4-CRF	71.666
wixarika	30	500	with	1-CRF	72.17999999999999
wixarika	30	500	with	3-CRF	72.19
wixarika	31	500	with	Morfessor	36.327999999999996
wixarika	31	500	with	Seq2seq	61.822
wixarika	31	500	with	0-CRF	62.88
wixarika	31	500	with	3-CRF	69.294
wixarika	31	500	with	1-CRF	69.444
wixarika	31	500	with	4-CRF	70.016
